date,lat,lon,sst
2026-05-06,-7.000,119.000,29.185
2026-05-06,-7.000,120.000,29.284
2026-05-06,-7.000,121.000,29.280
2026-05-06,-7.000,122.000,29.466
2026-05-06,-7.000,123.000,29.484
2026-05-06,-7.000,124.000,29.347
2026-05-06,-7.000,125.000,29.476
2026-05-06,-7.000,126.000,29.280
2026-05-06,-7.000,127.000,28.896
2026-05-06,-7.000,128.000,29.090
2026-05-06,-7.000,129.000,29.026
2026-05-06,-7.000,130.000,28.979
2026-05-06,-7.000,131.000,28.703
2026-05-06,-7.000,132.000,28.474
2026-05-06,-7.000,133.000,28.669
2026-05-06,-7.000,134.000,28.548
2026-05-06,-7.000,135.000,28.520
2026-05-06,-7.000,136.000,28.446
2026-05-06,-7.000,137.000,28.841
2026-05-06,-7.000,138.000,29.004
2026-05-06,-7.000,139.000,29.000
2026-05-06,-7.000,147.000,29.346
2026-05-06,-7.000,148.000,29.035
2026-05-06,-7.000,149.000,29.061
2026-05-06,-7.000,150.000,28.998
2026-05-06,-7.000,151.000,28.954
2026-05-06,-7.000,152.000,29.214
2026-05-06,-7.000,153.000,29.144
2026-05-06,-7.000,154.000,29.283
2026-05-06,-7.000,155.000,29.223
2026-05-06,-7.000,156.000,29.310
2026-05-06,-7.000,157.000,29.493
2026-05-06,-7.000,158.000,29.660
2026-05-06,-7.000,159.000,29.842
2026-05-06,-7.000,160.000,29.846
2026-05-06,-7.000,161.000,30.066
2026-05-06,-7.000,162.000,30.145
2026-05-06,-7.000,163.000,30.111
2026-05-06,-7.000,164.000,30.298
2026-05-06,-7.000,165.000,30.338
2026-05-06,-7.000,166.000,30.342
2026-05-06,-7.000,167.000,29.714
2026-05-06,-7.000,168.000,29.451
2026-05-06,-7.000,169.000,30.108
2026-05-06,-7.000,170.000,30.199
2026-05-06,-7.000,171.000,30.244
2026-05-06,-7.000,172.000,30.248
2026-05-06,-7.000,173.000,30.249
2026-05-06,-7.000,174.000,30.251
2026-05-06,-7.000,175.000,30.305
2026-05-06,-7.000,176.000,30.349
2026-05-06,-7.000,177.000,30.426
2026-05-06,-7.000,178.000,30.501
2026-05-06,-7.000,179.000,30.486
2026-05-06,-7.000,180.000,30.430
2026-05-06,-6.000,39.000,29.051
2026-05-06,-6.000,40.000,29.119
2026-05-06,-6.000,41.000,29.088
2026-05-06,-6.000,42.000,29.280
2026-05-06,-6.000,43.000,29.257
2026-05-06,-6.000,44.000,29.128
2026-05-06,-6.000,45.000,28.995
2026-05-06,-6.000,46.000,28.606
2026-05-06,-6.000,47.000,28.557
2026-05-06,-6.000,48.000,28.961
2026-05-06,-6.000,49.000,29.119
2026-05-06,-6.000,50.000,29.309
2026-05-06,-6.000,51.000,29.484
2026-05-06,-6.000,52.000,29.463
2026-05-06,-6.000,53.000,29.423
2026-05-06,-6.000,54.000,29.664
2026-05-06,-6.000,55.000,29.740
2026-05-06,-6.000,56.000,29.785
2026-05-06,-6.000,57.000,29.598
